service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
173,20220223,20220326,0,0,0,0,0,0,0
174,20220223,20220326,0,0,0,0,0,0,0
175,20220223,20220326,0,0,0,0,0,0,0
176,20220223,20220326,0,0,0,0,0,0,0
177,20220223,20220326,0,0,0,0,0,0,0
178,20220223,20220326,0,0,0,0,0,0,0
179,20220223,20220326,0,0,0,0,0,0,0
180,20220223,20220326,0,0,0,0,0,0,0
181,20220223,20220326,0,0,0,0,0,0,0
182,20220223,20220326,0,0,0,0,0,0,0
183,20220223,20220326,0,0,0,0,0,0,0
184,20220223,20220326,0,0,0,0,0,0,0
185,20220223,20220326,0,0,0,0,0,0,0
186,20220223,20220326,0,0,0,0,0,0,0
187,20220223,20220326,0,0,0,0,0,0,0
